,Country,CC3,Location,Latitude,Longitude,mercartorY,mercartorX
0,Algeria,DZA,"(28.0000272, 2.9999825)",28.0000272,2.9999825,3248977.218949108,333956.52428873186
1,Angola,AGO,"(47.59397, 14.12456)",47.59397,14.12456,6039569.783192337,1572338.82687904
2,Argentina,ARG,"(-34.9964963, -64.9672817)",-34.9964963,-64.9672817,-4163405.01542267,-7232124.717067161
3,Australia,AUS,"(-24.7761086, 134.755)",-24.7761086,134.755,-2848269.565101021,15000857.981847579
4,Austria,AUT,"(47.59397, 14.12456)",47.59397,14.12456,6039569.783192337,1572338.82687904
5,Belgium,BEL,"(50.6402809, 4.6667145)",50.6402809,4.6667145,6557908.560595655,519496.28181758634
6,Bolivia,BOL,"(-17.0568696, -64.9912286)",-17.0568696,-64.9912286,-1927446.0015866454,-7234790.473781237
7,Brazil,BRA,"(-10.3333333, -53.2)",-10.3333333,-53.2,-1156588.4476574468,-5922196.910202154
8,Canada,CAN,"(36.7014631, -118.755997)",36.7014631,-118.755997,4397575.88495201,-13219857.114687523
9,Central African Republic,CAF,"(7.0323598, 19.9981227)",7.0323598,19.9981227,784811.669153988,2226180.8357854052
10,Chile,CHL,"(-31.7613365, -71.3187697)",-31.7613365,-71.3187697,-3732022.944911974,-7939169.127006749
11,China,CHN,"(44.45807035, 7.558136691151624)",44.45807035,7.558136691151624,5536605.448199652,841367.9278049563
12,Colombia,COL,"(4.099917, -72.9088133)",4.099917,-72.9088133,456790.66527818964,-8116171.9708978515
13,Costa Rica,CRI,"(45.22086405, 10.037037979628856)",45.22086405,10.037037979628856,5656359.286627173,1117317.9569650316
14,CoteD'Ivoire,CIV,"(7.9897371, -5.5679458)",7.9897371,-5.5679458,892310.0771091911,-619820.8912205463
15,Denmark,DNK,"(55.670249, 10.3333283)",55.670249,10.3333283,7493049.671201017,1150300.844555723
16,Dominican Republic,DOM,"(19.0974031, -70.3028026)",19.0974031,-70.3028026,2166406.914937949,-7826072.186772031
17,Ecuador,ECU,"(-1.3397668, -79.3666965)",-1.3397668,-79.3666965,-149155.75115758102,-8835060.240324289
18,Egypt,EGY,"(26.2540493, 29.2675469)",26.2540493,29.2675469,3030580.2127741915,3258048.417676253
19,El Salvador,SLV,"(13.8000382, -88.9140683)",13.8000382,-88.9140683,1551285.3826837395,-9897868.807514347
20,Finland,FIN,"(63.2467777, 25.9209164)",63.2467777,25.9209164,9161018.744482853,2885503.214543014
21,France,FRA,"(41.6282513, 13.575754531597315)",41.6282513,13.575754531597315,5105454.93331892,1511246.0815918893
22,Germany,DEU,"(51.0834196, 10.4234469)",51.0834196,10.4234469,6636062.9704789035,1160332.801218726
23,Ghana,GHA,"(8.0300284, -1.0800271)",8.0300284,-1.0800271,896839.4727689292,-120228.06681493594
